aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,created_at,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,aeloss_epoch,discloss_epoch
6118.25439453125,6118.25439453125,0.0,69497.65625,6118.18505859375,0.12447479367256165,5000.0,0.0,-0.6664683818817139,0.0,0.0,0.6625199317932129,0.6630902886390686,110,2024-09-12 06:05:10.031247,,,,,,,,,,,,,
5032.35595703125,5032.35595703125,0.0,95244.8828125,5032.2607421875,0.10238160938024521,5000.0,0.0,-0.6621897220611572,0.0,0.0,0.6591123342514038,0.6722894906997681,110,2024-09-12 06:06:00.738823,,,,,,,,,,,,,
7669.513671875,7669.513671875,0.0,57701.6015625,7669.4560546875,0.15603548288345337,5000.0,0.0,-0.7331326603889465,0.0,0.0,0.7448084950447083,0.7357813715934753,110,2024-09-12 06:06:52.560597,,,,,,,,,,,,,
6808.27197265625,6808.27197265625,0.0,64675.94140625,6808.20751953125,0.13851334154605865,5000.0,0.0,-0.710092306137085,0.0,0.0,0.7099589109420776,0.7057350277900696,110,2024-09-12 06:07:43.300451,,,,,,,,,,,,,
5988.21240234375,5988.21240234375,0.0,83333.65625,5988.12890625,0.12182879447937012,5000.0,0.0,-0.6942851543426514,0.0,0.0,0.6893162727355957,0.6905838251113892,110,2024-09-12 06:08:35.146428,,,,,,,,,,,,,
,,,,,,,,,,,,,110,2024-09-12 06:09:25.883576,0.12776261568069458,6279.8662109375,0.0,78086.515625,6279.78759765625,0.0,0.0,-0.7420963048934937,0.0,0.819125235080719,0.7420963048934937,,
,,,,,,,,,,,,,110,2024-09-12 06:09:26.774969,,,,,,,,,,,,5838.587890625,0.0
6878.35498046875,6878.35498046875,0.0,73564.890625,6878.28125,0.13993899524211884,5000.0,0.0,-0.6075390577316284,0.0,0.0,0.6093941926956177,0.6022030115127563,111,2024-09-12 06:09:43.495691,,,,,,,,,,,,,
7067.90087890625,7067.90087890625,0.0,86304.8359375,7067.814453125,0.14379505813121796,5000.0,0.0,-0.6955223679542542,0.0,0.0,0.6920479536056519,0.6949915885925293,111,2024-09-12 06:10:35.335861,,,,,,,,,,,,,
6487.8623046875,6487.8623046875,0.0,69197.9140625,6487.79296875,0.13199448585510254,5000.0,0.0,-0.6571106910705566,0.0,0.0,0.6543406248092651,0.6551697254180908,111,2024-09-12 06:11:26.094547,,,,,,,,,,,,,
5882.07373046875,5882.07373046875,0.0,105790.7109375,5881.9677734375,0.11966894567012787,5000.0,0.0,-0.653540313243866,0.0,0.0,0.6558688282966614,0.6470202207565308,111,2024-09-12 06:12:17.947537,,,,,,,,,,,,,
5071.62255859375,5071.62255859375,0.0,105022.515625,5071.517578125,0.10318028926849365,5000.0,0.0,-0.6886365413665771,0.0,0.0,0.6949728727340698,0.6835928559303284,111,2024-09-12 06:13:08.628350,,,,,,,,,,,,,
,,,,,,,,,,,,,111,2024-09-12 06:13:54.252163,0.11920247226953506,5859.123046875,0.0,82097.40625,5859.04248046875,0.0,0.0,-0.8140440583229065,0.0,0.8657547831535339,0.8140440583229065,,
,,,,,,,,,,,,,111,2024-09-12 06:13:55.204431,,,,,,,,,,,,5835.2724609375,0.0
5242.02099609375,5242.02099609375,0.0,88490.046875,5241.9326171875,0.10664739459753036,5000.0,0.0,-0.7144359350204468,0.0,0.0,0.722859263420105,0.7153328061103821,112,2024-09-12 06:14:18.108370,,,,,,,,,,,,,
5801.40234375,5801.40234375,0.0,92027.9375,5801.310546875,0.11802797019481659,5000.0,0.0,-0.6725375056266785,0.0,0.0,0.6736276745796204,0.6727666854858398,112,2024-09-12 06:15:08.915394,,,,,,,,,,,,,
5695.63623046875,5695.63623046875,0.0,80605.2421875,5695.5556640625,0.11587637662887573,5000.0,0.0,-0.6558014154434204,0.0,0.0,0.6550168395042419,0.657195508480072,112,2024-09-12 06:16:00.705963,,,,,,,,,,,,,
6564.06298828125,6564.06298828125,0.0,91281.40625,6563.9716796875,0.13354435563087463,5000.0,0.0,-0.6455203294754028,0.0,0.0,0.6545448899269104,0.6445065140724182,112,2024-09-12 06:16:51.591370,,,,,,,,,,,,,
6400.77099609375,6400.77099609375,0.0,78811.6953125,6400.6923828125,0.13022242486476898,5000.0,0.0,-0.6933006048202515,0.0,0.0,0.686896800994873,0.6940639019012451,112,2024-09-12 06:17:43.216843,,,,,,,,,,,,,
,,,,,,,,,,,,,112,2024-09-12 06:18:21.956538,0.1184874027967453,5823.97802734375,0.0,81791.1484375,5823.89599609375,0.0,0.0,-0.7481604218482971,0.0,0.7921063303947449,0.7481604218482971,,
,,,,,,,,,,,,,112,2024-09-12 06:18:22.870810,,,,,,,,,,,,5835.876953125,0.0
5784.97314453125,5784.97314453125,0.0,84081.078125,5784.88916015625,0.11769387125968933,5000.0,0.0,-0.7063360810279846,0.0,0.0,0.7071824073791504,0.7127192616462708,113,2024-09-12 06:18:51.721459,,,,,,,,,,,,,
6498.66943359375,6498.66943359375,0.0,60269.6484375,6498.609375,0.13221454620361328,5000.0,0.0,-0.6759706735610962,0.0,0.0,0.6743043065071106,0.6763499975204468,113,2024-09-12 06:19:43.488109,,,,,,,,,,,,,
6475.68017578125,6475.68017578125,0.0,73499.6640625,6475.6064453125,0.1317465603351593,5000.0,0.0,-0.6510440707206726,0.0,0.0,0.6538887023925781,0.6504168510437012,113,2024-09-12 06:20:34.345753,,,,,,,,,,,,,
4825.1494140625,4825.1494140625,0.0,82826.484375,4825.06640625,0.09816622734069824,5000.0,0.0,-0.6540271043777466,0.0,0.0,0.6534392833709717,0.6479808688163757,113,2024-09-12 06:21:26.132927,,,,,,,,,,,,,
5721.8115234375,5721.8115234375,0.0,71348.7109375,5721.740234375,0.11640910804271698,5000.0,0.0,-0.7277809381484985,0.0,0.0,0.7269935607910156,0.7273288369178772,113,2024-09-12 06:22:17.091599,,,,,,,,,,,,,
,,,,,,,,,,,,,113,2024-09-12 06:22:50.604736,0.116942398250103,5748.03759765625,0.0,85165.0,5747.95263671875,0.0,0.0,-0.6790359020233154,0.0,0.7218067646026611,0.6790359020233154,,
,,,,,,,,,,,,,113,2024-09-12 06:22:52.524562,,,,,,,,,,,,5775.8427734375,0.0
5894.67041015625,5894.67041015625,0.0,88503.21875,5894.58203125,0.11992558091878891,5000.0,0.0,-0.6411247849464417,0.0,0.0,0.639202356338501,0.6474354863166809,114,2024-09-12 06:23:27.654064,,,,,,,,,,,,,
5060.3896484375,5060.3896484375,0.0,67569.9375,5060.322265625,0.10295252501964569,5000.0,0.0,-0.6910489797592163,0.0,0.0,0.6871418952941895,0.690199077129364,114,2024-09-12 06:24:18.541833,,,,,,,,,,,,,
5955.09375,5955.09375,0.0,85406.90625,5955.00830078125,0.12115495651960373,5000.0,0.0,-0.689163088798523,0.0,0.0,0.6888715624809265,0.6871920824050903,114,2024-09-12 06:25:10.196747,,,,,,,,,,,,,
